Title;Price
Пирожки с яйцом и луком на сметанном тесте, дрожж. (3 шт);144
Пирожки слоеные с капустой;164
Пирожное протеиновое молочное;161
Пирожное протеиновое шоколадное;161
Пирожок постный с яблоком, пекарня;65
Пирожок с капустой;135
Пирожок с капустой постный. Пекарня;65
Пита «Израильская» с нутом;56
Пита «Ливанская»;68
Пита «Средиземноморская»;51
Пита Арабская, 4 шт_РП;75
Пита Арабская_РП;45
Пита-мини;51
Пита-чипсы с чесноком и паприкой;71
Плетёнка «Невская с маком»_РП;68
Плюшка «Московская» с маком. Пекарня;55
Плюшка «Новомосковская»_РП;43
Расстегаи с лососем и палтусом, 120 г (2 шт);154
Рисовые мини хлебцы с яблочным соком 0,03;29
Ромовая Баба;223
Рулет с маковой начинкой, половинка;124
Рулет с маком, 200 г;119
Рулет сдобный с клубникой;140
Сдоба с кардамоном и корицей;170
Слоёный десерт со злаками;68
Слойка венгерская с творогом;116
Слойка с абрикосом и заварным кремом;118
Соломка с луком;157
Соломка с начинкой, со вкусом брусники;46
Соломка с начинкой, со вкусом черной смородины;81
Соломка сладкая;81
Сочник с творогом 200г_РП;57
Сочник с творогом, 2 шт;177
Сочник с творогом, кафе рег;90
Сочники с творогом (набор 250 г);300
Спортхлеб;133
Сухари «Сахарные»;84
Сухари для панировки пшеничные с отрубями;42
Сухари мини «Московские»;61
Сухарики пшеничные;72
Сухарики ржано-пшеничные с хреном и чесноком;72
Сухарики ржаные с семечками и с солью «Адыгейской»;84
Сухарики ржаные с чесноком и солью;63
Сухарики салатные «Итальянские травы»;68
Сухарики салатные с чесноком;68
Сушка цельнозерновая с конопляной мукой;64
Сушка цельнозерновая со льном;59
Сушки «Малютка» глазированные;56
Сушки «Малютка» челночок овсяные;53
Сушки мини с солодом;72
Сушки простые «Малышка»;49
Сушки с ванилью «Малышка»;60
Сушки с прованскими травами;53
Сушки-мини «Молочные»;75
Таралли с луком;63
Таралли с оливковым маслом;73
Тарталетки вафельные;73
Тарталетки песочные «ВкусВилл», 125 г;97
Тартин «Зерновой», нарезка;76
Тартин зерновой, половинка. Пекарня;70
Тартин зерновой. Пекарня;130
Тартин пшенично ржаной, половинка, Пекарня;60
Тартин пшенично-ржаной, половинка;57
Тартин пшенично-ржаной. Пекарня;110
Тартин пшеничный, половинка;57
Тартин пшеничный, половинка, Пекарня;60
Тартин пшеничный. Пекарня;110
Тартин пшеничный_РП;110
Тартин солодовый, нарезка;88
